"results__fsq_id","results__categories__id","results__categories__name","results__categories__icon__prefix","results__categories__icon__suffix","results__distance","results__geocodes__|","results__geocodes__|__latitude","results__geocodes__|__longitude","results__link","results__location__address","results__location__census_block","results__location__country","results__location__cross_street","results__location__dma","results__location__formatted_address","results__location__locality","results__location__postcode","results__location__region","results__name","results__related_places__children__fsq_id","results__related_places__children__name","results__timezone","context__geo_bounds__circle__center__latitude","context__geo_bounds__circle__center__longitude","context__geo_bounds__circle__radius"
"47e5ffeaf964a5204d4e1fe3","18039","Race Track","https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_",".png","15314","main","40.671878","-73.833118","/v3/places/47e5ffeaf964a5204d4e1fe3","11000 Rockaway Blvd","360810864001000","US","110th St","New York","11000 Rockaway Blvd (110th St), Ozone Park, NY 11420","Ozone Park","11420","NY","Aqueduct Racetrack","4f18bccae4b025b060529821","Triple Crown Cafe","America/New_York","40.7143528","-74.00597309999999","22000"
"","","","","","","roof","40.671878","-73.833118","","","","","","","","","","","","4f7df22ce4b006944f1e924a","Aqueduct Walkway","","","",""
"","","","","","","","","","","","","","","","","","","","","50aa4f84e4b05977cfa3c712","Aqueduct Backstretch","","","",""
"","","","","","","","","","","","","","","","","","","","","5c55f6fe628c830039a66040","Aqueduct Fan Shop","","","",""
"","","","","","","","","","","","","","","","","","","","","532dd4ea498edab6fa641f33","Aqueduct Food Court","","","",""
"","","","","","","","","","","","","","","","","","","","","4cf144fb7e93f04d960b4c69","Aqueduct Turf And Field Club","","","",""
"","","","","","","","","","","","","","","","","","","","","5c560eb06f0aa2002cb8965a","Winner’s Circle Coffee Shop","","","",""
